Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC036026,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Sheffield,Yorkshire and The Humber,294521,09/05/2014,Full inspection,2,0,2,2,2,2
SC037381,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Reading,South East,294249,13/05/2014,Full inspection,2,0,2,2,2,2
SC424348,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Nottingham,East Midlands,294061,07/05/2014,Full inspection,3,0,3,3,3,3
SC424351,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Nottingham,East Midlands,296567,10/06/2014,Full inspection,2,0,2,2,2,2
SC470928,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Nottingham,East Midlands,297253,19/06/2014,Full inspection,2,0,2,1,2,2
SC468929,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Northumberland,North East,291882,04/04/2014,Full inspection,2,0,2,3,2,2
SC035364,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Northamptonshire,East Midlands,293764,28/04/2014,Full inspection,4,0,3,4,4,4
SC035409,Active,Secure children's home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Northumberland,North East,296153,04/06/2014,Full inspection,2,2,2,2,2,2
SC465257,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Northamptonshire,East Midlands,293403,15/04/2014,Full inspection,2,0,2,2,2,2
SC035593,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Hampshire,South East,293655,30/04/2014,Full inspection,1,0,1,1,1,1
SC035687,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Doncaster,Yorkshire and The Humber,297298,18/06/2014,Full inspection,2,0,2,2,2,3
SC465279,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Northamptonshire,East Midlands,294058,07/05/2014,Full inspection,2,0,2,3,2,2
SC367802,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,North East Lincolnshire,Yorkshire and The Humber,293835,07/05/2014,Full inspection,2,0,1,1,1,2
SC068955,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Norfolk,East of England,296608,11/06/2014,Full inspection,2,0,3,2,2,2
SC472392,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Middlesbrough,North East,293893,07/05/2014,Full inspection,3,0,3,3,2,3
SC036501,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,297502,23/06/2014,Full inspection,2,0,2,1,2,2
SC036740,Active,Secure children's home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Nottinghamshire,East Midlands,296989,17/06/2014,Full inspection,2,1,1,1,1,2
SC035969,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,295715,30/05/2014,Full inspection,2,0,2,2,2,2
SC037181,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sefton,North West,297002,17/06/2014,Full inspection,3,0,3,3,3,4
SC042994,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Lincolnshire,East Midlands,296477,11/06/2014,Full inspection,3,0,2,2,3,3
SC038780,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Derby,East Midlands,294246,08/05/2014,Full inspection,4,0,3,4,4,4
SC038802,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sheffield,Yorkshire and The Humber,297851,07/06/2014,Full inspection,3,0,3,2,2,3
SC032300,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,295411,28/05/2014,Full inspection,4,0,3,4,4,4
SC039213,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Haringey,London,296859,18/06/2014,Full inspection,3,0,2,2,2,4
SC040191,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Norfolk,East of England,294641,08/05/2014,Full inspection,3,0,3,3,3,3
SC038961,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leicester,East Midlands,293932,07/05/2014,Full inspection,4,0,4,4,4,4
SC033438,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leeds,Yorkshire and The Humber,294622,07/05/2014,Full inspection,3,0,3,3,3,3
SC040500,Active,Secure children's home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Salford,North West,293869,30/04/2014,Full inspection,1,2,1,1,1,1
SC040749,Active,Residential special school (>295 days/year),Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,North Yorkshire,Yorkshire and The Humber,296043,04/06/2014,Full inspection,3,0,2,2,2,3
SC033638,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leeds,Yorkshire and The Humber,296062,29/05/2014,Full inspection,3,0,3,3,3,3
SC043245,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,296537,10/06/2014,Full inspection,3,0,3,3,3,3
SC044231,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,294412,12/05/2014,Full inspection,2,0,2,2,2,2
SC033723,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leeds,Yorkshire and The Humber,297416,18/06/2014,Full inspection,2,0,2,2,2,3
SC046621,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Rochdale,North West,295293,21/05/2014,Full inspection,1,0,1,1,1,1
SC047978,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Nottinghamshire,East Midlands,296717,12/06/2014,Full inspection,2,0,2,2,2,2
SC051963,Resigned,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sefton,North West,294221,13/05/2014,Full inspection,4,0,4,4,4,4
SC052744,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Knowsley,North West,296371,06/06/2014,Full inspection,4,0,4,4,4,4
SC034746,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,297296,17/06/2014,Full inspection,2,0,2,2,2,2
SC056128,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,294778,15/05/2014,Full inspection,3,0,3,3,3,3
